"","library","n.cells","condition"
"M1A1","M1A1","single","spi"
"M1A12","M1A12","ten","spi"
"M1A2","M1A2","single","spi"
"M1A3","M1A3","single","spi"
"M1A6","M1A6","ten","spi"
"M1A7","M1A7","ten","spi"
"M1B1","M1B1","single","spi"
"M1B2","M1B2","single","spi"
"M1B3","M1B3","single","spi"
"M1B4","M1B4","single","spi"
"M1B7","M1B7","ten","spi"
"M1C2","M1C2","single","spi"
"M1C4","M1C4","single","spi"
"M1C5","M1C5","ten","spi"
"M1D2","M1D2","single","spi"
"M1D6","M1D6","ten","spi"
"M1E11","M1E11","ten","spi"
"M1E2","M1E2","single","spi"
"M1E3","M1E3","single","spi"
"M1E5","M1E5","ten","spi"
"M1F11","M1F11","ten","spi"
"M1F2","M1F2","single","spi"
"M1F3","M1F3","single","spi"
"M1F4","M1F4","single","spi"
"M1F5","M1F5","ten","spi"
"M1F6","M1F6","ten","spi"
"M1F7","M1F7","ten","spi"
"M1F9","M1F9","ten","spi"
"M1G2","M1G2","single","spi"
"M1G3","M1G3","single","spi"
"M1G6","M1G6","ten","spi"
"M1H11","M1H11","ten","spi"
"M1H2","M1H2","single","spi"
"M1H3","M1H3","single","spi"
"M1H5","M1H5","ten","spi"
"M2A10","M2A10","single","salt"
"M2A11","M2A11","single","ana"
"M2A12","M2A12","single","ana"
"M2A2","M2A2","ten","spi"
"M2A3","M2A3","ten","spi"
"M2A5","M2A5","ten","salt"
"M2A7","M2A7","ten","ana"
"M2A8","M2A8","single","salt"
"M2A9","M2A9","single","salt"
"M2B10","M2B10","single","salt"
"M2B11","M2B11","single","ana"
"M2B12","M2B12","single","ana"
"M2B3","M2B3","ten","spi"
"M2B5","M2B5","ten","salt"
"M2B6","M2B6","ten","ana"
"M2B7","M2B7","ten","ana"
"M2B8","M2B8","single","salt"
"M2B9","M2B9","single","salt"
"M2C10","M2C10","single","ana"
"M2C11","M2C11","single","ana"
"M2C3","M2C3","ten","salt"
"M2C4","M2C4","ten","salt"
"M2C6","M2C6","ten","ana"
"M2C7","M2C7","single","salt"
"M2C8","M2C8","single","salt"
"M2C9","M2C9","single","salt"
"M2D10","M2D10","single","ana"
"M2D11","M2D11","single","ana"
"M2D3","M2D3","ten","salt"
"M2D4","M2D4","ten","salt"
"M2D6","M2D6","ten","ana"
"M2D7","M2D7","single","salt"
"M2D8","M2D8","single","salt"
"M2D9","M2D9","single","salt"
"M2E10","M2E10","single","ana"
"M2E11","M2E11","single","ana"
"M2E3","M2E3","ten","salt"
"M2E4","M2E4","ten","salt"
"M2E5","M2E5","ten","salt"
"M2E6","M2E6","ten","ana"
"M2E7","M2E7","single","salt"
"M2E8","M2E8","single","salt"
"M2E9","M2E9","single","salt"
"M2F10","M2F10","single","ana"
"M2F11","M2F11","single","ana"
"M2F3","M2F3","ten","salt"
"M2F4","M2F4","ten","salt"
"M2F6","M2F6","ten","ana"
"M2F7","M2F7","single","salt"
"M2F8","M2F8","single","salt"
"M2F9","M2F9","single","salt"
"M2G10","M2G10","single","ana"
"M2G11","M2G11","single","ana"
"M2G2","M2G2","ten","spi"
"M2G3","M2G3","ten","salt"
"M2G4","M2G4","ten","salt"
"M2G5","M2G5","ten","salt"
"M2G6","M2G6","ten","ana"
"M2G7","M2G7","single","salt"
"M2G8","M2G8","single","salt"
"M2G9","M2G9","single","salt"
"M2H10","M2H10","single","ana"
"M2H11","M2H11","single","ana"
"M2H3","M2H3","ten","salt"
"M2H4","M2H4","ten","salt"
"M2H5","M2H5","ten","salt"
"M2H7","M2H7","single","salt"
"M2H8","M2H8","single","salt"
"M2H9","M2H9","single","salt"
"M3A1","M3A1","ten","salt"
"M3A2","M3A2","ten","salt"
"M3A3","M3A3","ten","salt"
"M3A5","M3A5","single","ana"
"M3A6","M3A6","single","ana"
"M3A7","M3A7","ten","ana"
"M3B4","M3B4","ten","ana"
"M3B5","M3B5","single","ana"
"M3C4","M3C4","ten","ana"
"M3C5","M3C5","single","ana"
"M3C6","M3C6","ten","ana"
"M3C7","M3C7","ten","ana"
"M3D4","M3D4","ten","ana"
"M3D5","M3D5","single","ana"
"M3E4","M3E4","ten","ana"
"M3E5","M3E5","single","ana"
"M3E6","M3E6","ten","ana"
"M3E7","M3E7","ten","ana"
"M3F4","M3F4","single","ana"
"M3F5","M3F5","single","ana"
"M3F6","M3F6","ten","ana"
"M3G4","M3G4","single","ana"
"M3G5","M3G5","single","ana"
"M3G6","M3G6","ten","ana"
"M3H4","M3H4","single","ana"
"M3H5","M3H5","single","ana"
"M3H6","M3H6","ten","ana"
